,sensor_id,time,incoming,outgoing,range,date,hour,minute,total,location_name
188,52,2021-06-17 11:58:26.355038+00:00,0,1,1min,2021-06-17,11,58,1,reitan_7eleven_carlberner
189,52,2021-06-17 12:01:09.392449+00:00,0,1,1min,2021-06-17,12,1,1,reitan_7eleven_carlberner
190,52,2021-06-17 12:01:18.459633+00:00,1,0,1min,2021-06-17,12,1,1,reitan_7eleven_carlberner
191,52,2021-06-17 12:01:45.666982+00:00,2,2,1min,2021-06-17,12,1,4,reitan_7eleven_carlberner
192,52,2021-06-17 12:01:57.743889+00:00,0,1,1min,2021-06-17,12,1,1,reitan_7eleven_carlberner
193,52,2021-06-17 12:03:07.165911+00:00,1,0,1min,2021-06-17,12,3,1,reitan_7eleven_carlberner
194,52,2021-06-17 12:05:50.285763+00:00,0,1,1min,2021-06-17,12,5,1,reitan_7eleven_carlberner
195,52,2021-06-17 12:05:56.314976+00:00,1,0,1min,2021-06-17,12,5,1,reitan_7eleven_carlberner
196,52,2021-06-17 12:07:02.729380+00:00,0,1,1min,2021-06-17,12,7,1,reitan_7eleven_carlberner
197,52,2021-06-17 12:07:26.883787+00:00,3,2,1min,2021-06-17,12,7,5,reitan_7eleven_carlberner
198,52,2021-06-17 12:07:51.037781+00:00,1,0,1min,2021-06-17,12,7,1,reitan_7eleven_carlberner
199,52,2021-06-17 12:10:19.017395+00:00,1,1,1min,2021-06-17,12,10,2,reitan_7eleven_carlberner
200,52,2021-06-17 12:17:58.047503+00:00,0,2,1min,2021-06-17,12,17,2,reitan_7eleven_carlberner
201,52,2021-06-17 12:18:01.059303+00:00,1,0,1min,2021-06-17,12,18,1,reitan_7eleven_carlberner
202,52,2021-06-17 12:18:28.245926+00:00,0,1,1min,2021-06-17,12,18,1,reitan_7eleven_carlberner
203,52,2021-06-17 12:19:10.534539+00:00,1,1,1min,2021-06-17,12,19,2,reitan_7eleven_carlberner
204,52,2021-06-17 12:19:58.756403+00:00,1,0,1min,2021-06-17,12,19,1,reitan_7eleven_carlberner
205,52,2021-06-17 12:22:41.775759+00:00,0,1,1min,2021-06-17,12,22,1,reitan_7eleven_carlberner
206,52,2021-06-17 12:22:56.890879+00:00,0,1,1min,2021-06-17,12,22,1,reitan_7eleven_carlberner
207,52,2021-06-17 12:23:30.125292+00:00,1,1,1min,2021-06-17,12,23,2,reitan_7eleven_carlberner
208,52,2021-06-17 12:25:00.524592+00:00,2,0,1min,2021-06-17,12,25,2,reitan_7eleven_carlberner
209,52,2021-06-17 12:28:52.889075+00:00,1,1,1min,2021-06-17,12,28,2,reitan_7eleven_carlberner
210,52,2021-06-17 12:35:49.516742+00:00,0,1,1min,2021-06-17,12,35,1,reitan_7eleven_carlberner
211,52,2021-06-17 12:36:52.914806+00:00,1,0,1min,2021-06-17,12,36,1,reitan_7eleven_carlberner
212,52,2021-06-17 12:43:22.487855+00:00,0,1,1min,2021-06-17,12,43,1,reitan_7eleven_carlberner
213,52,2021-06-17 12:45:02.212442+00:00,1,0,1min,2021-06-17,12,45,1,reitan_7eleven_carlberner
214,52,2021-06-17 12:46:29.732052+00:00,0,1,1min,2021-06-17,12,46,1,reitan_7eleven_carlberner
215,52,2021-06-17 12:47:48.272644+00:00,1,0,1min,2021-06-17,12,47,1,reitan_7eleven_carlberner
216,52,2021-06-17 12:49:03.770980+00:00,0,1,1min,2021-06-17,12,49,1,reitan_7eleven_carlberner
217,52,2021-06-17 12:50:37.420047+00:00,1,0,1min,2021-06-17,12,50,1,reitan_7eleven_carlberner
218,52,2021-06-17 12:56:39.847049+00:00,0,1,1min,2021-06-17,12,56,1,reitan_7eleven_carlberner
219,52,2021-06-17 12:57:10.059835+00:00,1,1,1min,2021-06-17,12,57,2,reitan_7eleven_carlberner
220,52,2021-06-17 12:59:37.842360+00:00,1,1,1min,2021-06-17,12,59,2,reitan_7eleven_carlberner
221,52,2021-06-17 12:59:59.006130+00:00,0,1,1min,2021-06-17,12,59,1,reitan_7eleven_carlberner
222,52,2021-06-17 13:00:59.465934+00:00,1,0,1min,2021-06-17,13,0,1,reitan_7eleven_carlberner
223,52,2021-06-17 13:01:20.609838+00:00,1,0,1min,2021-06-17,13,1,1,reitan_7eleven_carlberner
224,52,2021-06-17 13:02:02.802382+00:00,0,1,1min,2021-06-17,13,2,1,reitan_7eleven_carlberner
225,52,2021-06-17 13:02:47.976562+00:00,1,0,1min,2021-06-17,13,2,1,reitan_7eleven_carlberner
226,52,2021-06-17 13:13:01.009155+00:00,0,2,1min,2021-06-17,13,13,2,reitan_7eleven_carlberner
