Player Id,Tackles,wontackles,duels,wonduels,passes,wonpasses,interception,Last_Name,First_Name
16234,44,0.795454545,133,0.466165414,528,0.746212121,21,Stam,Ronnie
16236,49,0.816326531,181,0.491712707,915,0.782513661,41,Edwards,David
16734,9,1,36,0.5,150,0.813333333,7,Ferreira,Paulo
16854,22,0.863636364,92,0.510869565,972,0.850823045,39,Senderos,Philippe
17127,17,0.705882353,92,0.652173913,1093,0.891125343,35,Mertesacker,Per
17336,65,0.646153846,235,0.565957447,1503,0.815701929,75,Clichy,Ga�l
17349,15,0.666666667,132,0.409090909,623,0.808988764,13,Lennon,Aaron
17468,68,0.661764706,159,0.635220126,585,0.702564103,52,Cu�llar,Carlos
17476,65,0.784615385,176,0.670454545,1651,0.863113265,73,Kompany,Vincent
17500,26,0.653846154,411,0.340632603,1150,0.79826087,22,Adebayor,Emmanuel
17812,34,0.794117647,109,0.458715596,1550,0.80516129,28,Fox,David
17891,10,0.9,72,0.472222222,232,0.685344828,7,Bilyaletdinov,Diniyar
17955,7,0.714285714,38,0.289473684,119,0.697478992,3,Dobbie,Stephen
17974,11,0.727272727,70,0.657142857,417,0.800959233,14,Steven Taylor,0
17997,78,0.756410256,203,0.610837438,1250,0.688,55,Bardsley,Phillip
18008,66,0.757575758,258,0.503875969,1266,0.79778831,65,Morrison,James
18144,28,0.75,113,0.637168142,683,0.770131772,14,Whitbread,Zak
18215,2,0.5,166,0.439759036,247,0.587044534,5,Jones,Kenwyne
18428,44,0.818181818,295,0.430508475,1033,0.674733785,52,Eagles,Chris
18430,5,0.8,29,0.448275862,85,0.729411765,3,Gera,Zolt�n
18586,18,0.722222222,72,0.402777778,494,0.805668016,13,Buzs�ky,�kos
18658,9,0.555555556,26,0.653846154,117,0.888888889,7,Alex,0
18737,42,0.80952381,336,0.348214286,833,0.675870348,28,N'Zogbia,Charles
18753,22,0.818181818,245,0.391836735,628,0.76433121,9,Ben Arfa,Hatem
18804,17,0.882352941,128,0.3828125,201,0.651741294,5,Jerome,Cameron
18818,28,0.678571429,247,0.408906883,1109,0.690712353,29,Jarvis,Matthew
18832,57,0.666666667,188,0.515957447,788,0.762690355,46,Stearman,Richard
18846,50,0.76,125,0.664,509,0.805500982,42,Perch,James
18892,35,0.8,195,0.558974359,897,0.723522854,17,Young,Ashley
18953,10,0.8,292,0.386986301,836,0.700956938,10,Fletcher,Steven
19008,53,0.754716981,235,0.6,882,0.70861678,46,Berra,Christophe
19053,49,0.775510204,138,0.608695652,448,0.723214286,25,Onuoha,Nedum
19057,80,0.6625,241,0.481327801,1245,0.638554217,47,Sebastian Larsson,0
19084,7,0.428571429,26,0.5,147,0.768707483,3,Elokobi,George
19124,55,0.581818182,126,0.626984127,638,0.680250784,28,Tierney,Marc
